link_stub,movie_title,rank_g_movies,lifetime_gross,rank_overall,year,domestic_total_gross,international_total_gross,worldwide_total_gross,domestic_opening,budget,release_date,runtime,distributor,genres,rating
/title/tt0436595/?ref_=bo_cso_table_3,Roving Mars,203,"$10,407,978","4,852",2006,"$10,407,978","$570,998","$10,978,976","$412,337",,2006-01-27,,Walt Disney Studios Motion Pictures,"Documentary, Short",
/title/tt0067093/?ref_=bo_cso_table_4,Fiddler on the Roof,204,"$10,404,330","4,854",1971,"$10,404,330","$1,127","$10,405,457",,,1971-11-03,181.0,United Artists,"Drama, Family, Musical, Romance",
/title/tt0892375/?ref_=bo_cso_table_5,U2,205,"$10,363,341","4,861",2008,"$10,363,341","$12,367,501","$22,730,842","$946,000",,2008-01-23,85.0,National Geographic Entertainment,"Documentary, Music",
/title/tt8760684/?ref_=bo_cso_table_10,Apollo 11,210,"$9,039,891","5,071",2019,"$9,039,891","$6,302,462","$15,342,353","$1,607,040",,2019-03-01,93.0,Neon,"Documentary, History",G
/title/tt0417415/?ref_=bo_cso_table_11,Aliens of the Deep,211,"$8,968,684","5,082",2005,"$8,968,684","$3,806,906","$12,775,590","$479,368",,2005-01-28,100.0,Walt Disney Studios Motion Pictures,"Documentary, Family",G
/title/tt3195742/?ref_=bo_cso_table_18,Journey to the South Pacific,218,"$7,653,913","5,311",2013,"$7,653,913","$7,340,963","$14,994,876","$8,137",,2013-11-27,,IMAX,"Documentary, Short",G
/title/tt7860270/?ref_=bo_cso_table_19,Pandas,219,"$7,574,012","5,322",2018,"$7,574,012","$61,766","$7,635,778","$158,915",,2018-04-06,,Warner Bros.,"Documentary, Short",G
/title/tt0062803/?ref_=bo_cso_table_20,Chitty Chitty Bang Bang,220,"$7,500,000","5,338",1968,"$7,500,000",$445,"$7,500,445",,,1968-12-18,144.0,United Artists,"Adventure, Family, Fantasy, Musical",
/title/tt0763304/?ref_=bo_cso_table_21,Dougal: American Edition,221,"$7,438,000","5,353",2006,"$7,438,000","$20,012,189","$27,450,189","$3,605,899",,2005-02-02,85.0,The Weinstein Company,"Adventure, Animation, Comedy, Family, Fantasy",
/title/tt0186508/?ref_=bo_cso_table_23,Buena Vista Social Club,223,"$7,002,182","5,455",1999,"$7,002,182","$16,139,017","$23,141,199","$127,370",,1999-06-04,105.0,Artisan Entertainment,"Documentary, Music",
